Iteration,Z1,Z2,Z3,Reward
0,6.503705538878137,5.1877215649638515,5.391259917854313,0.38318923960599566
1,6.057290295415157,5.099877420631685,5.27063031498443,0.40341411350687995
2,4.3233813784669906,4.270340983210417,4.352919575169722,0.43257742578783465
3,3.6817726925591217,3.8106322861158333,3.8701062521902827,0.39867819486721046
4,3.115908817342273,3.3507270606144743,3.39321970013836,0.36362959313749327
5,2.622942280721986,2.9120622891990138,2.9421307061563766,0.3283093768208903
6,2.2545619561121555,2.5624058652395547,2.5845524836270215,0.3032546560620351
7,1.9320279687278514,2.2413607583625605,2.257500695586117,0.2797134390791265
8,1.6952246385040013,1.9968774659838289,2.0091542667825877,0.2689842447363206
9,1.4848556719896493,1.773435516621248,1.782670092692669,0.25759251424184
10,1.2985056273315791,1.570530996210877,1.5773807987350068,0.2501099768949585
11,1.1338582392657486,1.3872872617259446,1.3922775202151456,0.24106502555983542
12,0.9887260487599718,1.22258637208067,1.2261355298290226,0.23378880385789327
13,0.8852945243318544,1.1033324410790897,1.105971547285023,0.23023629691636482
