Iteration,Kp,Kd,Reward
0,8,0.5,0.2671721859270655
1,8.082727272727272,0.29000000000000004,0.157387134213678
2,7.679090909090909,1.0,0.1749809471939841
3,8.183636363636364,0.77,0.2199554051763678
4,7.477272727272727,0.5700000000000001,0.23094289955691977
5,7.477272727272727,0.24000000000000002,0.18716863176949625
6,7.275454545454545,0.74,0.20768071952087058
7,7.073636363636363,0.38,0.16414301912660648
8,8.385454545454545,0.9600000000000001,0.3706621803039531
9,9.192727272727272,0.91,0.3597196941692537
10,9.596363636363636,1.0,0.1904788044798086
11,9.091818181818182,0.5800000000000001,0.1427533471236219
12,6.972727272727273,0.8400000000000001,0.0805609656899025
13,7.578181818181818,0.02,0.08250854679750266
14,9.495454545454544,0.78,0.15227607862855438
15,6.972727272727273,0.26,0.16950334506592948
16,6.7709090909090905,0.24000000000000002,0.15986653009402232
17,6.569090909090908,0.11,0.1224464520651199
18,6.468181818181818,0.24000000000000002,0.210544382158037
19,5.862727272727272,0.37,0.17501694280123048
20,5.862727272727272,0.11,0.08680461205786891
21,5.963636363636363,0.7100000000000001,0.10195183767771931
22,5.761818181818182,0.63,0.16608512747652396
23,5.56,0.6900000000000001,0.1385914230865978
24,5.3581818181818175,0.59,0.27220036147063725
25,4.449999999999999,0.65,0.3197998128288605
26,4.550909090909091,0.3,0.23166133193058405
27,4.1472727272727266,0.97,0.1939109424692965
28,4.8536363636363635,1.0,0.24278429321090247
29,4.1472727272727266,0.43,0.30032433399837993
30,3.6427272727272726,0.3,0.1417511238763386
31,4.046363636363636,0.09,0.09759972049327219
32,3.6427272727272726,0.7000000000000001,0.220958324850731
33,3.34,0.74,0.162326162758751
34,3.1381818181818177,0.7000000000000001,0.14940373135748927
35,3.1381818181818177,0.91,0.0870842091333344
36,3.037272727272727,0.54,0.18285365831244474
37,2.7345454545454544,0.4,0.11926603592915995
38,2.7345454545454544,0.66,0.0787849887439467
39,4.8536363636363635,0.12,0.11921712252295759
40,3.037272727272727,0.21000000000000002,0.1752229581603877
41,2.7345454545454544,0.08,0.1028398285426133
42,5.3581818181818175,0.99,0.10780096157427775
43,3.1381818181818177,0.02,0.06220329629502238
44,8.587272727272726,0.36000000000000004,0.24002388268878516
45,8.587272727272726,0.11,0.10679051912393785
46,8.183636363636364,0.01,0.06891597799759136
47,8.99090909090909,0.31,0.11749419189844786
48,9.697272727272727,0.91,0.11001859917914283
49,9.798181818181817,1.0,0.09810630981950742
50,2.6336363636363633,0.06999999999999999,0.06043550132686504
52,8.889999999999999,1.0,0.45589943115359416
