Iteration,Z,Kp,Reward
0,0.8300000000000001,0.9803914678257731,0.13377803964103838
1,0.76,1.0250234764132677,0.1381908182149103
2,0.67,1.0876863625845863,0.140311793464053
3,0.59,1.1472910763752864,0.13832920468827514
4,0.52,1.2015634204086918,0.13691022887862545
5,0.45,1.2570088119533658,0.1351958847195302
6,0.38,1.312841125131109,0.1339865676200019
7,0.31,1.3682699243541778,0.1326746022036696
8,0.25,1.4148664349944076,0.13168338635365456
9,0.19,1.460112788773519,0.13052667653810052
10,0.13,1.5035477560602002,0.1302237129154786
11,0.06999999999999999,1.5447338994133943,0.1295276363656897
12,0.01,1.5832628394837573,0.12892918176003593
13,2.52,1.3816055816615087,0.12744398933586604
14,2.5799999999999996,1.4165956011943774,0.12687912605296303
15,2.65,1.4546477192531095,0.12653465359484434
16,2.7199999999999998,1.4892819510993092,0.12656097165158892
17,2.78,1.515944979503204,0.12615761277150617
18,2.84,1.5395919363731343,0.12595619018392076
19,2.9,1.560048366604224,0.12565633316486627
20,2.96,1.5771784687448798,0.12551820049486226
21,3.02,1.5908859766504215,0.12525497249877732
22,3.08,1.6011146582486204,0.12486690565787463
23,3.1399999999999997,1.6078484409961225,0.12479705003951616
24,3.1999999999999997,1.6111111734993522,0.12462798999510151
25,3.26,1.6109660318238328,0.1245100518299167
26,3.32,1.607514577473561,0.12408805961762466
27,3.38,1.600895472187695,0.12366905895837843
28,3.44,1.5912828529093206,0.12280782484614142
29,3.5,1.5788843688739886,0.12262140003874898
