Iteration,Reward
0,0.1810957016781777
1,0.19003038001217054
2,0.1988877381647338
3,0.20531061848905183
4,0.20977917589360764
5,0.20853983384596103
6,0.20647592118009336
7,0.198881650259478
8,0.1905278095612953
9,0.18063027835786918
10,0.17134251657699676
11,0.1634055898525474
12,0.15491240105885223
13,0.14741608580053647
14,0.14135557541202431
15,0.13634434000997528
16,0.1312817049367791
17,0.12754484974614147
18,0.1239359995322252
19,0.12129324806628147
20,0.1189221656116697
21,0.11202004070618474
22,0.11160982214105444
23,0.11070891745411766
24,0.109969512653819
25,0.10963306753337597
26,0.10886884900584512
27,0.10877439988732267
28,0.10817269100481056
29,0.10806262835493363
