Iteration,Z,Kp,Reward
0,2.1399999999999997,1.116909201028913,0.13377803964103838
1,2.21,1.096790257409699,0.1381908182149103
2,2.3,1.0722598698696573,0.140311793464053
3,2.38,1.052152513096579,0.13832920468827514
4,2.4499999999999997,1.036148609348581,0.13691022887862545
5,2.52,1.0218117659895134,0.1351958847195302
6,2.59,1.0092609035240563,0.1339865676200019
7,2.6599999999999997,0.998557471549663,0.1326746022036696
8,2.7199999999999998,0.9908567464466862,0.13168338635365456
9,2.78,0.9844824394041543,0.13052667653810052
10,2.84,0.9793697941482961,0.1302237129154786
11,2.9,0.9754242124377508,0.1295276363656897
12,2.96,0.9725234673364949,0.12892918176003593
13,3.02,0.9705206058525734,0.12744398933586604
14,3.08,0.9692474903953597,0.12687912605296303
15,3.1399999999999997,0.9685189110171479,0.12653465359484434
16,3.1999999999999997,0.9681371843479813,0.12656097165158892
17,3.26,0.9678971409823758,0.12615761277150617
18,3.32,0.9675913912491413,0.12595619018392076
19,3.38,0.9670157501346507,0.12565633316486627
20,3.44,0.96597469589784,0.12551820049486226
21,3.5,0.9642867337861536,0.12525497249877732
22,3.56,0.961789536320821,0.12486690565787463
23,3.6199999999999997,0.9583447348617671,0.12479705003951616
24,3.6799999999999997,0.9538422434972836,0.12462798999510151
25,3.7399999999999998,0.9482040055603275,0.1245100518299167
26,3.8,0.9413870650109506,0.12408805961762466
27,3.86,0.933385879238595,0.12366905895837843
28,3.92,0.9242338061759005,0.12280782484614142
29,3.98,0.91400371658284,0.12262140003874898
