Iteration,Z1,Z2,Z3,Reward
0,1.1528322700659368,2.1291084763806634,1.2183714933310292,0.16498595081227865
1,1.3546193840235798,2.126319357785565,1.2212957556832562,0.17109013741501508
2,1.372052058761334,2.123305670282458,1.2237715660551756,0.1722088750988189
3,1.397017685449414,2.1168217015664035,1.2259686180998683,0.17194069595592246
4,1.327349802073274,2.1100567825809615,1.228025591492628,0.1731604197496318
5,1.427719222203203,2.1033594156529842,1.2310788534239843,0.17515261471481416
6,1.0420613274742943,2.097029903369402,1.2343026108849624,0.1542259386452014
7,1.4890648049973538,2.206365703440277,1.2127380336217435,0.16525537911150412
8,1.4677544068624588,2.212107254399546,1.2080763537141057,0.16357652828264788
9,1.4457489841377469,2.2146175831145647,1.2027166503080353,0.16329864659245044
10,1.4125316355821596,2.2011883140975,1.1966466306684247,0.16353011938361567
11,1.3804367941400684,2.1953290849653446,1.1898193226051266,0.16292795606274177
12,1.1395068013364615,2.189119760445208,1.1779694339191693,0.15881182045850278
13,1.1258353153235767,2.182837892007784,1.163794974347353,0.1573025168275071
14,1.1118593602187898,2.1767096528460836,1.2366048228827191,0.15715336107135117
15,1.1903615346017367,2.1709121597904844,1.2402809400008579,0.16637741293355535
16,1.2132804063434852,2.2169406206109157,0.7449873673556971,0.11905036508600915
17,1.3997253138178947,2.1655753195934255,0.837400728962768,0.12933810945041851
18,1.3180249269520894,2.1356925139067915,1.2924419156381697,0.17986957110067237
19,1.2992325001762715,2.138826568135441,1.2902194440939658,0.17946208295638413
20,1.2804694964971766,2.142546449419673,1.2861623644108326,0.1780205106152229
21,1.2619736919558735,2.145968020533247,1.2818420645704511,0.17640413229316798
22,1.2439557898002487,2.1529455487342832,1.2777963310641915,0.17395406269070943
23,1.2266018762954962,1.8943331734457842,1.2744185136778765,0.19545871084954014
24,1.2100756285794263,1.9121136971406332,1.270568804664992,0.1922130170929308
25,1.19452029150088,1.9327111686702758,1.2453670206148666,0.18687826041849767
26,1.1800604386752211,1.9474438357550143,1.2944486108792652,0.18374218367937267
27,1.1668035313875105,1.9575903722662904,1.2941547626828993,0.18074220863628415
28,1.154841287460755,1.9655838497287597,1.2886085111055758,0.17864697407807495
29,1.144250870774177,1.9684863231186482,0.6862514087161872,0.12373768845784724
30,1.2593821619756382,1.872720051793161,0.6734212298617182,0.12722816910495288
