Iteration,Reward
0,0.26892859631750454
1,0.35250688868371943
2,0.3608392894492519
3,0.3147766295362343
4,0.2573535223798794
5,0.22347266233133523
6,0.19102936495231246
7,0.3102551379481728
8,0.26408500997265855
9,0.2452649026087808
10,0.2289817376613041
11,0.2148129587763943
12,0.20200912644558827
13,0.19063085441049193
14,0.1762301039191117
15,0.1582204953645751
16,0.14226980581302676
17,0.16557990453476085
18,0.1579365665851967
19,0.14852695956167417
20,0.13948607334145688
21,0.1311293246716515
22,0.13477295629136704
23,0.12819592979355304
24,0.12886653727337888
25,0.1194117521873243
26,0.10978176491457736
27,0.12565760988924424
28,0.12085543462311409
29,0.11612551574360169
30,0.10048248562590596
31,0.11166019028773287
32,0.09265891084057763
33,0.10386754816351203
34,0.1027027771025253
35,0.09834588896112408
36,0.09436191588500932
37,0.2012538692504447
38,0.0898637076864316
39,0.09170797456265323
40,0.08464979802949023
41,0.08812852847349888
42,0.08621383878962452
43,0.28058149281533074
44,0.0835917802795273
45,0.0857520357832669
46,0.0825240471383352
47,0.08240036672059946
48,0.0791708017378332
49,0.07952031669918602
50,0.14288252181591074
