Iteration,Kp,Reward
0,9,0.11873401987041021
1,8.96,0.11692122372022322
2,8.92,0.12040457942368145
3,9.05,0.1226430541589746
4,9.11,0.1252479054185477
5,9.17,0.12762007313908896
6,9.23,0.13028642715187586
7,9.3,0.13354251492294505
8,9.37,0.13697439856203258
9,9.44,0.13709781502871554
10,9.51,0.13573832579746548
11,9.58,0.133567277059986
12,9.65,0.130876580732243
13,9.71,0.12855269583810486
