Iteration,Kp,Reward
0,"[1, 3.5, 2]",0.10611956007007126
1,2.0,0.10635063925041835
2,2.0262699803004387,0.10795335554753024
3,2.059631635549855,0.10712333848001233
4,2.1198284703355474,0.10841291650883157
5,2.180925631824065,0.10906474174631499
6,2.176712268799943,0.11161464404039215
7,2.0272049156861103,0.11055418096400284
8,2.135149193726019,0.11395928991024143
9,2.036724315141054,0.11559024309812697
10,2.0154812874993913,0.11457285383853309
11,2.3345994914308053,0.1136176363641349
12,2.0790503217323173,0.12279751515414138
13,2.2243767216766184,0.13371072220875332
14,2.19056900708197,0.14533640572427278
15,2.3712694313280624,0.14163478502868185
16,2.4882188644904413,0.1488944123146038
17,2.15618968955011,0.15841674819365728
18,2.3431204438753315,0.1720961449977555
19,2.3337348063129384,0.19323678216513349
20,2.322942036701023,0.2107523407715291
21,2.091891756226667,0.19279665807523017
22,2.1801779767212364,0.2178860261471978
23,2.262410270937539,0.2453039685903892
24,2.565518790405766,0.3349786750811375
25,3.0816531000649947,0.3474966665854
26,2.904980140430411,0.2887618941845209
27,3.337238804155821,0.2819717834426763
28,3.0579305828659447,0.24479077799323387
29,2.7735614067966874,0.3152493418157074
30,2.9652147461401195,0.2879332144541881
