Iteration,Kp,Reward
0,"[1, 3.5, 2]",0.10611956007007126
1,1.0,0.10635063925041835
2,1.0403595277629405,0.10795335554753024
3,1.0352690673601885,0.10712333848001233
4,1.0642009556948644,0.10841291650883157
5,1.0728210252224066,0.10906474174631499
6,1.1012712805682576,0.11161464404039215
7,1.1047670783196437,0.11055418096400284
8,1.191960879028111,0.11395928991024143
9,1.1798771968480015,0.11559024309812697
10,1.2204632578212071,0.11457285383853309
11,1.1386168708970048,0.1136176363641349
12,1.2645302426661842,0.12279751515414138
13,1.427695295571064,0.13371072220875332
14,1.5938111832654478,0.14533640572427278
15,1.4989136902974662,0.14163478502868185
16,1.6230293534707465,0.1488944123146038
17,1.8077626949022312,0.15841674819365728
18,1.976523778577519,0.1720961449977555
19,2.1717948515834387,0.19323678216513349
20,2.4485645899536976,0.2107523407715291
21,2.412699863902078,0.19279665807523017
22,2.402450336417172,0.2178860261471978
23,2.679834762945527,0.2453039685903892
24,2.8591471108881725,0.3349786750811375
25,3.020044889896162,0.3474966665854
26,3.3109966641340125,0.2887618941845209
27,2.85280097633594,0.2819717834426763
28,2.357571568720845,0.24479077799323387
29,3.1527263201679983,0.3152493418157074
30,2.6758899470072097,0.2879332144541881
