Iteration,Reward
0,0.10611956007007126
1,0.10635063925041835
2,0.10795335554753024
3,0.10712333848001233
4,0.10841291650883157
5,0.10906474174631499
6,0.11161464404039215
7,0.11055418096400284
8,0.11395928991024143
9,0.11559024309812697
10,0.11457285383853309
11,0.1136176363641349
12,0.12279751515414138
13,0.13371072220875332
14,0.14533640572427278
15,0.14163478502868185
16,0.1488944123146038
17,0.15841674819365728
18,0.1720961449977555
19,0.19323678216513349
20,0.2107523407715291
21,0.19279665807523017
22,0.2178860261471978
23,0.2453039685903892
24,0.3349786750811375
25,0.3474966665854
26,0.2887618941845209
27,0.2819717834426763
28,0.24479077799323387
29,0.3152493418157074
30,0.2879332144541881
