Iteration,Kp,Reward
0,"[1, 3.5, 2]",0.10611956007007126
1,3.5,0.10635063925041835
2,3.5380739012759532,0.10795335554753024
3,3.582380879340943,0.10712333848001233
4,3.6193056602583864,0.10841291650883157
5,3.6050023351777627,0.10906474174631499
6,3.537993968381079,0.11161464404039215
7,3.59522699660606,0.11055418096400284
8,3.6887855567372525,0.11395928991024143
9,3.507962403965683,0.11559024309812697
10,3.70341660344291,0.11457285383853309
11,3.5363981473239554,0.1136176363641349
12,3.4084004460108748,0.12279751515414138
13,3.433531729761929,0.13371072220875332
14,3.469853247519467,0.14533640572427278
15,3.367061219474656,0.14163478502868185
16,3.4709484561384034,0.1488944123146038
17,3.5590571996498443,0.15841674819365728
18,3.6364952232542693,0.1720961449977555
19,3.537439874434879,0.19323678216513349
20,3.6008911956171867,0.2107523407715291
21,3.413630756679963,0.19279665807523017
22,3.192278311453601,0.2178860261471978
23,3.0671357406808424,0.2453039685903892
24,2.914722005013069,0.3349786750811375
25,2.8032188916326257,0.3474966665854
26,2.6279607201961634,0.2887618941845209
27,2.5933841220873965,0.2819717834426763
28,3.2818373335119535,0.24479077799323387
29,3.382295309821383,0.3152493418157074
30,2.397576421549672,0.2879332144541881
