Iteration,Reward
0,0.10857435165692479
1,0.10765803480295794
2,0.11078723586858913
3,0.11363544785158113
4,0.11721747328189001
5,0.12102668266328423
6,0.12598910179238343
7,0.13162115400791047
8,0.13832368660557634
9,0.14663452885553274
10,0.15041078639143185
11,0.1464481472736657
12,0.1426256122348433
13,0.13958597361963215
14,0.1367026175592411
15,0.1337299227198188
16,0.13144357254306255
17,0.12894328422423143
18,0.12627579977906084
19,0.12335248646251395
20,0.120527862462647
21,0.11778875552948068
22,0.11344953452608217
23,0.10874441853238255
24,0.10513415846529839
25,0.10158328045630553
26,0.10434676338464974
27,0.10177478605717025
28,0.09948232374357642
29,0.10022745038109049
30,0.09690391633534803
