Iteration,Kp,Kd,Reward
0,4,0.3,0.2671721859270655
1,3.9454545454545453,0.08,0.157387134213678
2,4.248181818181818,0.9,0.1749809471939841
3,3.8445454545454543,0.66,0.2199554051763678
4,4.449999999999999,0.26,0.23094289955691977
5,4.651818181818181,0.5800000000000001,0.18716863176949625
6,4.651818181818181,0.09999999999999999,0.20768071952087058
7,3.6427272727272726,0.8400000000000001,0.16414301912660648
8,3.5418181818181815,0.45,0.3706621803039531
9,2.5327272727272723,0.21000000000000002,0.3597196941692537
10,2.6336363636363633,0.62,0.1904788044798086
11,2.2299999999999995,0.01,0.1427533471236219
12,3.037272727272727,0.01,0.0805609656899025
13,2.129090909090909,0.4,0.08250854679750266
14,4.954545454545454,0.03,0.15227607862855438
15,4.752727272727272,0.8400000000000001,0.16950334506592948
16,4.954545454545454,1.0,0.15986653009402232
17,5.156363636363636,0.93,0.1224464520651199
18,5.055454545454545,0.41000000000000003,0.210544382158037
19,5.3581818181818175,0.22,0.17501694280123048
20,5.56,0.52,0.08680461205786891
21,5.56,0.08,0.10195183767771931
22,3.1381818181818177,0.85,0.16608512747652396
23,2.5327272727272723,0.7100000000000001,0.1385914230865978
24,5.3581818181818175,0.92,0.27220036147063725
25,5.761818181818182,1.0,0.3197998128288605
26,6.266363636363636,0.9400000000000001,0.23166133193058405
27,6.569090909090908,1.0,0.1939109424692965
28,6.266363636363636,0.78,0.24278429321090247
29,6.569090909090908,0.7000000000000001,0.30032433399837993
30,7.376363636363636,0.05,0.1417511238763386
31,6.7709090909090905,0.05,0.09759972049327219
32,7.376363636363636,0.63,0.220958324850731
33,7.679090909090909,0.51,0.162326162758751
34,7.275454545454545,0.9,0.14940373135748927
35,7.779999999999999,0.26,0.0870842091333344
36,7.679090909090909,0.75,0.18285365831244474
37,7.880909090909091,0.8200000000000001,0.11926603592915995
38,7.9818181818181815,0.9,0.0787849887439467
39,6.266363636363636,0.18000000000000002,0.11921712252295759
40,7.578181818181818,1.0,0.1752229581603877
41,4.046363636363636,1.0,0.1028398285426133
42,7.578181818181818,0.02,0.10780096157427775
43,2.129090909090909,0.01,0.06220329629502238
44,7.9818181818181815,1.0,0.24002388268878516
45,8.183636363636364,1.0,0.10679051912393785
46,3.9454545454545453,0.01,0.06891597799759136
47,3.239090909090909,0.9400000000000001,0.11749419189844786
48,5.56,0.01,0.11001859917914283
49,3.037272727272727,0.42000000000000004,0.09810630981950742
50,2.4318181818181817,0.78,0.06043550132686504
52,4.046363636363636,0.47000000000000003,0.45589943115359416
