Iteration,Z1,Z2,Z3,Reward
0,5.093996761795944,5.90370841951306,6.9268287052038335,0.15541922108373243
1,6.6957266014016685,5.829532666249171,3.5793581825108456,0.2077393471565908
2,6.861422791705709,5.821859312463252,3.2330681284391574,0.21769644561978999
3,6.941760338519789,5.818138898506442,3.0651699204044,0.21650610877434545
4,7.052224465389149,5.813023329315829,2.8343098843566072,0.2081671643255746
5,7.16268859225851,5.807907760125216,2.603449848308815,0.19523099292781435
6,7.25808942910023,5.803489768551505,2.40407072626754,0.18519473817501395
7,7.34846916926607,5.799304302850095,2.2151852422284373,0.1788524515292705
8,7.44387000610779,5.794886311276383,2.0158061201871624,0.17196687556125154
9,7.53424974627363,5.790700845574972,1.8269206361480599,0.16593938872429184
10,7.619608389763591,5.786747905745862,1.6485287901111296,0.15155778893453403
11,7.68990374322591,5.783492543533654,1.5016178580807162,0.14355838258556725
12,7.760199096688231,5.7802371813214455,1.3547069260503033,0.13516315592538153
13,7.830494450150551,5.7769818191092375,1.2077959940198895,0.1250075760107828
14,7.890747610261111,5.77419150864163,1.081872337993821,0.1225830722934973
15,7.956021867047552,5.771168672301723,0.9454550439655804,0.12322292210915939
16,8.026317220509872,5.767913310089514,0.7985441119351675,0.12048239111879737
17,8.091591477296312,5.764890473749607,0.662126817906926,0.10658530495196263
18,5.043785795037144,5.906033678236065,7.031765085225556,0.1545060225382739
19,4.973490441574825,5.909289040448273,7.17867601725597,0.15403640477934888
20,4.863026314705464,5.914404609638887,7.409536053303762,0.15338227061449938
21,4.782688767891384,5.918125023595696,7.57743426133852,0.15304555391754437
22,4.707372317753183,5.921612911680205,7.734838831371105,0.15266799032325457
23,4.627034770939104,5.925333325637014,7.902737039405864,0.1522479870877175
24,4.536655030773263,5.929518791338425,8.091622523444967,0.1518161569089996
25,4.4512963872833025,5.933471731167535,8.270014369481897,0.15143980567630377
