Iteration,Kp,Kd,Reward
0,5,0.7,0.5167329405871611
1,5.055454545454545,0.63,0.48665237472028994
2,4.954545454545454,0.8,0.5150189696588032
3,4.8536363636363635,0.9400000000000001,0.49462366046791156
4,4.8536363636363635,0.76,0.5136473777274281
5,4.752727272727272,0.6900000000000001,0.5022153692770513
6,5.156363636363636,0.88,0.48795649259368007
7,4.954545454545454,0.44,0.4667109480376487
8,4.651818181818181,0.98,0.45926596962370586
9,4.550909090909091,0.6900000000000001,0.4757832127519595
10,4.651818181818181,0.41000000000000003,0.2738322463776628
11,5.257272727272727,0.49,0.49468155255360197
12,5.459090909090909,0.6,0.40722280523339655
13,4.449999999999999,1.0,0.35941905652665534
14,5.3581818181818175,0.34,0.31660372186540814
15,5.257272727272727,1.0,0.29931324079917504
16,4.349090909090909,0.86,0.23745765904880273
17,5.56,0.56,0.4643285420569447
18,5.66090909090909,0.42000000000000004,0.4616922000915959
19,5.862727272727272,0.38,0.3748173616218271
20,5.963636363636363,0.46,0.48138595441176096
21,6.165454545454545,0.51,0.42211856137766807
22,6.266363636363636,0.39,0.47939154854805693
23,6.468181818181818,0.36000000000000004,0.4369340756936729
24,6.367272727272727,0.23,0.3634819071314069
25,6.367272727272727,0.62,0.282146954955975
26,6.569090909090908,0.22,0.3154403782339472
27,6.165454545454545,0.15000000000000002,0.22519119065073173
28,6.569090909090908,0.52,0.4807031902490831
29,6.7709090909090905,0.48000000000000004,0.375535324573371
30,6.871818181818181,0.39,0.43736857426221076
31,6.972727272727273,0.53,0.5370147643426963
32,7.174545454545454,0.66,0.4836159849467052
33,7.376363636363636,0.5700000000000001,0.5376428991113053
34,7.578181818181818,0.72,0.49582390216244815
35,7.578181818181818,0.48000000000000004,0.47154887793586836
36,7.679090909090909,0.85,0.5413419991126999
37,7.880909090909091,0.93,0.5463585112451232
38,8.082727272727272,0.9600000000000001,0.5445169201050497
39,8.284545454545453,0.9600000000000001,0.5320579245580874
40,8.486363636363636,0.9500000000000001,0.5387694572238472
41,8.688181818181818,1.0,0.5235095278714477
42,8.889999999999999,0.97,0.564012273771253
43,9.091818181818182,0.9,0.5445455231630233
44,9.293636363636363,0.9400000000000001,0.5546817926157551
45,9.495454545454544,0.99,0.5409718356835537
46,9.293636363636363,0.79,0.4943696562057751
47,9.697272727272727,0.9500000000000001,0.49712953264200976
48,8.284545454545453,0.7100000000000001,0.4956906416102518
49,9.394545454545455,0.67,0.5083986993743702
50,9.697272727272727,0.68,0.5285951679453148
52,4.954545454545454,0.74,0.47193514875716197
