Iteration,Reward
0,0.5167329405871611
1,0.48665237472028994
2,0.5150189696588032
3,0.49462366046791156
4,0.5136473777274281
5,0.5022153692770513
6,0.48795649259368007
7,0.4667109480376487
8,0.45926596962370586
9,0.4757832127519595
10,0.2738322463776628
11,0.49468155255360197
12,0.40722280523339655
13,0.35941905652665534
14,0.31660372186540814
15,0.29931324079917504
16,0.23745765904880273
17,0.4643285420569447
18,0.4616922000915959
19,0.3748173616218271
20,0.48138595441176096
21,0.42211856137766807
22,0.47939154854805693
23,0.4369340756936729
24,0.3634819071314069
25,0.282146954955975
26,0.3154403782339472
27,0.22519119065073173
28,0.4807031902490831
29,0.375535324573371
30,0.43736857426221076
31,0.5370147643426963
32,0.4836159849467052
33,0.5376428991113053
34,0.49582390216244815
35,0.47154887793586836
36,0.5413419991126999
37,0.5463585112451232
38,0.5445169201050497
39,0.5320579245580874
40,0.5387694572238472
41,0.5235095278714477
42,0.564012273771253
43,0.5445455231630233
44,0.5546817926157551
45,0.5409718356835537
46,0.4943696562057751
47,0.49712953264200976
48,0.4956906416102518
49,0.5083986993743702
50,0.5285951679453148
52,0.47193514875716197
