Iteration,Z1,Z2,Z3,Reward
0,1.2437012103638512,2.4964613010567254,1.139084943545595,0.14121042826126243
1,1.6901593903817949,2.5208665649051496,1.139725984228774,0.14173369463948057
2,1.052376281420974,2.6105904314378314,0.9245140244937406,0.11956756179193899
3,1.2427911677378547,2.3823327696836873,1.11923127426873,0.14511831314705645
4,1.258432526635152,2.175009802424774,1.1388781245238588,0.15858129932085516
5,1.2740688449607354,2.1933411889696446,1.1356096518044694,0.15706604680479438
6,1.2896486482870124,2.2090478442067805,1.1274218078987912,0.1552893654811477
7,1.3050904224457067,2.222172948614377,1.2509771737429636,0.16867919569521006
8,1.3277388741910923,2.2369275241737556,1.2509544198757845,0.16734600469342287
9,1.35612334388176,1.766367083752028,1.2494550939428084,0.21306191382841402
10,1.6939690369601887,1.7835312794582863,1.2422817064315135,0.20845063482848233
11,1.2379527204531982,1.8049476019403679,1.2254475694821378,0.20178836908760764
12,1.2260010492273148,1.8228008752039304,1.1985799162806507,0.19469640068679578
13,1.2074040064788043,1.833511953416247,0.8053532867768426,0.141964537492795
14,1.2011371787884868,2.246612609400935,0.8079405225451711,0.12282031137564799
15,1.2597113911376512,1.7462388372028264,0.7976245701351987,0.1467973604872428
16,1.0476674972104805,2.358696448361096,0.8236994702560215,0.11983563934187334
17,0.9497816995937222,2.542974191343573,0.8075949133024879,0.11330051531592701
18,1.1164988334667492,1.8386654964577613,1.131879110285399,0.18125315125944746
19,1.1205202249278883,1.8487974398023563,1.1166649051875512,0.17841689733146338
20,1.1176436279394122,1.858968364751762,1.1147180862900918,0.17837686523975346
21,1.1094831739456756,1.8694684048887384,1.1134640593924747,0.17560141343844496
22,1.0993676941135369,1.8805478240333604,1.1129553903259353,0.17454958315541286
23,1.0865713009075983,1.892419181467187,1.1132260398231393,0.17335484696451034
24,1.063141186228797,1.9052591209102945,1.1142917021013716,0.16974583770294602
25,1.0355395623424828,1.9192097955456904,1.116149949623517,0.16520940844744053
26,1.0045957614102043,1.9343799387147842,1.1187801850665853,0.16047814370938873
27,1.1011929481145206,1.950845587296315,1.1203733379164524,0.17002983766887317
28,1.2646749986415262,1.9686504622126133,1.1240825472641236,0.1708858659809999
29,1.2742150427576542,1.9978849659380862,1.1284306945708857,0.1692450941005309
30,1.2834076720084313,2.0300513506865423,1.133330400136396,0.16743291219219458
